human_class,plant_class,spearman_r,spearman_p,pearson_r,pearson_p
Y,Y,0.7419354838709676,1.175739274322227e-06,0.9262078259739466,3.0306238221344166e-14
m5C,m5C,0.9516483516483516,1.661613698567939e-07,0.959792928474926,5.5923001362477083e-08
m6A,m6A,-0.22637362637362637,0.4364347945560526,-0.2405427511293787,0.40745355245070297
