Shot,F1,Prec,Rec,Acc,AUC,AUPRC,Sn,Sp,TP,TN,FP,FN
0,0.7007,0.9295,0.5623,0.5991,0.7837,0.9438,0.5623,0.7849,36967,10231,2804,28779
2,0.7951,0.9230,0.6984,0.6996,0.7894,0.9416,0.6984,0.7060,45915,9203,3832,19831
10,0.8583,0.9164,0.8072,0.7776,0.7919,0.9449,0.8072,0.6287,53069,8195,4840,12677
20,0.8796,0.9232,0.8399,0.8081,0.8287,0.9556,0.8399,0.6476,55219,8442,4593,10527
