Shot,F1,Prec,Rec,Acc,AUC,AUPRC,Sn,Sp,TP,TN,FP,FN
0,0.1107,0.0667,0.3261,0.4490,0.3921,0.1096,0.3261,0.4634,2703,32668,37823,5587
2,0.2135,0.1319,0.5606,0.5655,0.5978,0.1885,0.5606,0.5660,4647,39901,30590,3643
10,0.3897,0.3014,0.5513,0.8183,0.7364,0.4345,0.5513,0.8497,4570,59897,10594,3720
20,0.3462,0.2434,0.5993,0.7618,0.7655,0.4113,0.5993,0.7810,4968,55050,15441,3322
