human_class,plant_class,spearman_r,spearman_p,pearson_r,pearson_p
Y,Y,0.5568181818181818,0.0009331796481106625,0.9251600011623192,3.7178846963088515e-14
m5C,m5C,0.6923076923076923,0.006071048749990052,0.3336945128924075,0.24362789589905304
m6A,m6A,-0.3098901098901099,0.2809332808692584,-0.21990628661462333,0.44999633464139854
