name,query_type,group_query_dim,desc,best_avg_auc,best_epoch,total_params,trainable_params,train_time_s,class_0_auc,class_1_auc,class_2_auc,class_3_auc,class_4_auc,class_5_auc,class_6_auc,class_7_auc,class_8_auc,class_9_auc,class_10_auc,class_11_auc
1query_d128,1query,128,"1 global query + 12-way MLP, dim=128",0.9523578028630282,10,206032,206032,92.64387655258179,0.8815248939860004,1.0,0.9805527615182762,0.9792564565095666,0.9873910458730614,0.7209487987576217,0.9718154908272332,0.9675734691710772,0.9834695857938885,0.9823805849832485,0.9888795268348183,0.9845010201015453
1query_d256,1query,256,"1 global query + 12-way MLP, dim=256",0.9511675406487394,10,239056,239056,93.22251772880554,0.8605876053472081,1.0,0.979222396871449,0.9831993313720653,0.9874718983532849,0.7209330477833578,0.9731920192386516,0.9682391832746448,0.9844466230240412,0.9808102949726583,0.9900439837230582,0.9858641038244547
1query_d512,1query,512,"1 global query + 12-way MLP, dim=512",0.9508063691476143,10,272080,272080,92.14324474334717,0.8606815199017985,0.9999957589248168,0.9793897435008087,0.9803563387689975,0.9861781041029218,0.7300711662037984,0.971580228685643,0.9631119636957985,0.9843705226254745,0.9795521261630797,0.9893662861738969,0.9850226710243378
1query_d1001,1query,1001,"1 global query + 12-way MLP, dim=1001",0.9537502967049937,10,335161,335161,92.26817727088928,0.8849383604816574,0.9999951878158878,0.9798361599312193,0.9760657753437976,0.9812182386333553,0.7494650801476508,0.9712638935901867,0.9644008551801679,0.9847604577441417,0.9810274064768768,0.9883252625476642,0.9837068825673189
4query_d128,4query,128,"4-group hierarchical (baseline), dim=128",0.9225257639617754,10,864450,864450,97.55212926864624,0.7342575411968217,0.9999999949309859,0.9833687339608356,0.9744449330735584,0.9783467109480836,0.7785332151805484,0.9770046750009557,0.8312390796115217,0.9875140018379445,0.8788364893729057,0.9661448474564248,0.9806189449707178
4query_d256,4query,256,"4-group hierarchical (baseline), dim=256",0.8675337578381309,10,897858,897858,99.09478664398193,0.7222322208531291,0.9999999966206572,0.9509402417175078,0.8423132864894353,0.9385404803665898,0.7864059569843367,0.9164266547964662,0.7457061335062882,0.9494676540070207,0.8059850913726522,0.8077995763256917,0.9445878010177958
4query_d512,4query,512,"4-group hierarchical (baseline), dim=512",0.7931712211384273,10,931650,931650,99.30944085121155,0.7373711459651849,0.9999999780342721,0.754731951756348,0.6756980758064601,0.7911111255373444,0.7741253378828222,0.8621008888638951,0.7585907414047669,0.7545088337557712,0.8288147804929032,0.7282998904476076,0.8527019037137519
4query_d1001,4query,1001,"4-group hierarchical (baseline), dim=1001",0.8958072988103144,10,996198,996198,99.37480878829956,0.7070699094423415,1.0,0.978786917914557,0.8641770796435093,0.9373216931616619,0.7509575233553735,0.957153791858925,0.8200842869822982,0.9786498743341461,0.9105405204947968,0.9362564736607448,0.9086895148754184
12query_d128,12query,128,"12 independent queries, dim=128",0.9549385200885147,10,1093453,1093453,122.00657343864441,0.833430416605042,1.0,0.9855427621055497,0.9855248009637856,0.987597673561919,0.8030985553775521,0.9795106217774094,0.9366346281067516,0.9891683766040101,0.982106944716088,0.9902153872295392,0.9864320740145291
12query_d256,12query,256,"12 independent queries, dim=256",0.9583601078951974,10,1127885,1127885,132.36866974830627,0.8712146660825341,0.9999999999999999,0.9856768036353665,0.9864275861553929,0.9878067743193413,0.7745477259405052,0.9788850761794127,0.9665078643337432,0.9890927160921404,0.9837608255505869,0.989447877182199,0.9869533792711478
12query_d512,12query,512,"12 independent queries, dim=512",0.9534104439163121,10,1163725,1163725,137.11635184288025,0.8306554563287019,1.0,0.985791991982602,0.9869378744950369,0.9878665495106641,0.7956480267154271,0.9793079076926647,0.9281688514822355,0.9880887480208765,0.9815867209005701,0.9903014563849408,0.9865717434820271
12query_d1001,12query,1001,"12 independent queries, dim=1001",0.9592552391289967,10,1232185,1232185,138.7654836177826,0.8653624538047701,1.0,0.9859801296652265,0.9855370214063115,0.9877912754862361,0.7960402012303858,0.9791846815578003,0.9647634312279855,0.9878840834036907,0.9820063738278684,0.9894859067719649,0.9870273111657208
fullattn_d128,fullattn,128,"12 queries + self-attention, dim=128",0.9579468083132016,10,1792080,1792080,293.9146451950073,0.8386854131859378,0.9999999983103286,0.981494090414083,0.9804740241764484,0.9794516948444727,0.873922107225747,0.9726877581456367,0.9485996527214482,0.9845274644236747,0.9711778726977708,0.978339354985438,0.9860022686274316
fullattn_d256,fullattn,256,"12 queries + self-attention, dim=256",0.9573438089119365,10,1792080,1792080,319.1493139266968,0.7998291264433992,1.0,0.978904191936172,0.9829949572004459,0.9817488664071968,0.8918622663990691,0.9716441122712848,0.9581797789218599,0.9846122452530603,0.9713714653304689,0.9817258324175314,0.9852528643627488
fullattn_d512,fullattn,512,"12 queries + self-attention, dim=512",0.954044121563772,10,1792080,1792080,368.19422793388367,0.7744914228465205,0.9999999999999999,0.9797264567433762,0.9822395386647164,0.9818537750998192,0.8855981568356674,0.973191424862157,0.9485132001942074,0.9849205667265597,0.9678962475600423,0.9852774605872452,0.9848212086449565
fullattn_d1001,fullattn,1001,"12 queries + self-attention, dim=1001",0.9459772597694597,10,1792080,1792080,675.0417144298553,0.7170069285652187,1.0,0.9819351202208989,0.9815518417479849,0.9805214937199234,0.9110967785208964,0.9752348437005379,0.9265771785271065,0.9847959126119133,0.9399022135805617,0.9680299394218999,0.9850748666165735
